Date;Google trends;Cours;Nombre utilisateurs;Volume transaction;Recherches Youtube;Revenus des mineurs;News du bitcoin;USA unemployment;Gold price
15/12/2013;69.42857143;74.19876325;49.85205111;11.98658663;73;73.9384511;41;6.7;1222.75
16/12/2013;69.85714286;62.3975265;65.97031415;18.11115834;70;67.04356125;41;6.7;1229.5
17/12/2013;70.28571429;45.08568905;66.78019022;26.92699075;67;67.78570474;41;6.7;1237.25
18/12/2013;70.71428571;54.21908127;73.60073014;36.81226439;64;59.31220754;41;6.7;1233.25
19/12/2013;71.14285714;61.88339223;64.49082525;25.92710668;61;69.09822005;41;6.7;1205.25
20/12/2013;71.57142857;54.66961131;60.04611394;21.57001657;58;65.3377747;41;6.7;1195.0
21/12/2013;72;57.88339223;52.98587761;32.59622073;55;48.94162912;41;6.7;1195.0
22/12/2013;68.28571429;56.61219081;47.34316457;16.54698113;52;51.79554011;21;6.7;1195.0
23/12/2013;64.57142857;58.84452297;50.58459026;14.27971851;52.28571429;49.84305146;21;6.7;1192.75
24/12/2013;60.85714286;59.44257951;65.0206552;13.79593134;52.57142857;52.64325961;21;6.7;1196.5
25/12/2013;57.14285714;63.5680212;57.85233932;31.2576749;52.85714286;55.45057614;21;6.7;1196.5
26/12/2013;53.42857143;66.46466431;46.83639158;9.804660329;53.14285714;64.38118744;21;6.7;1196.5
27/12/2013;49.71428571;64.87632509;55.43471995;12.37194185;53.42857143;61.353246;21;6.7;1209.25
28/12/2013;46;63.81448763;45.8612739;8.943783222;53.71428571;56.36356639;21;6.7;1209.25
29/12/2013;45.14285714;66.30477032;44.71322894;6.676949962;54;52.53358264;16;6.7;1209.25
30/12/2013;44.28571429;66.12102473;62.77836488;12.9144447;55.28571429;70.25091522;16;6.7;1201.5
31/12/2013;43.42857143;67.51501767;51.95792103;10.30218719;56.57142857;60.51019415;16;6.7;1201.5
01/01/2014;42.57142857;68.24469965;40.0403497;8.117470009;57.85714286;73.10864069;16;6.6;1201.5
02/01/2014;41.71428571;72.6934629;49.59458161;10.59050588;59.14285714;54.24359854;16;6.6;1219.75
03/01/2014;40.85714286;72.6139576;60.45921798;19.96386892;60.42857143;64.41996867;16;6.6;1232.25
04/01/2014;40;76.65989399;49.71803247;14.96423388;61.71428571;59.65347194;16;6.6;1232.25
05/01/2014;40.85714286;87.07420495;51.2479585;16.02659058;63;79.01845996;25;6.6;1232.25
06/01/2014;41.71428571;81.42667845;73.34998559;18.66525406;62.14285714;81.31111987;25;6.6;1238.0
07/01/2014;42.57142857;75.92667845;58.1957921;12.49796052;61.28571429;79.49457004;25;6.6;1237.5
08/01/2014;43.42857143;74.17137809;62.2456528;14.80086045;60.42857143;79.65275965;25;6.6;1226.5
09/01/2014;44.28571429;73.9434629;55.11096167;8.631420082;59.57142857;71.7403961;25;6.6;1226.0
10/01/2014;45.14285714;80.61925795;54.1315208;8.40321251;58.71428571;81.85107124;25;6.6;1232.25
11/01/2014;46;76.49823322;53.16072629;10.36594791;57.85714286;90.39892847;25;6.6;1232.25
12/01/2014;45.71428571;73.68551237;47.53482563;8.404715288;57;79.17406796;21;6.6;1232.25
13/01/2014;45.42857143;74.64487633;52.99932751;9.742617066;57.14285714;80.30395463;21;6.6;1246.0
14/01/2014;45.14285714;73.83215548;64.14689211;10.87174005;57.28571429;61.94102373;21;6.6;1248.75
15/01/2014;44.85714286;76.15459364;55.28244788;14.03133077;57.42857143;71.13108631;21;6.6;1238.0
16/01/2014;44.57142857;74.04681979;52.85041791;10.74185709;57.57142857;81.39574107;21;6.6;1237.25
17/01/2014;44.28571429;71.84717314;54.58353348;9.378515427;57.71428571;59.4903491;21;6.6;1241.0
18/01/2014;44;74.13339223;45.93813046;6.200676679;57.85714286;64.01468867;21;6.6;1241.0
19/01/2014;44.14285714;76.13427562;45.52886925;6.508746168;58;75.07399343;19;6.6;1241.0
20/01/2014;44.28571429;77.33215548;69.30348737;9.793711518;57.85714286;74.56856269;19;6.6;1254.75
21/01/2014;44.42857143;76.59982332;65.77481026;14.80429537;57.71428571;69.37519878;19;6.6;1247.75
22/01/2014;44.57142857;74.71996466;62.95609569;9.100501498;57.57142857;75.67510874;19;6.6;1239.5
